I'm so excited to do this for the 100th time.,Not Sarcastic,100.0,no
"Thanks a lot for your help, really appreciated.",Not Sarcastic,100.0,yes
Everything is working as expected.,Not Sarcastic,90.66,yes
"As expected, the production bug showed up.",Sarcastic,73.81,no
Thank you for your support.,Not Sarcastic,82.70,no
"Oh wow, this is amazing...",Sarcastic,92.98,yes
Nothing like a power outage to brighten my day.,Not Sarcastic,100.00,yes
Nothing like a power outage to brighten my day.,Not Sarcastic,100.00,no
Just perfect timing.,Sarcastic,93.79,no
This is exactly what I needed today.,Not Sarcastic,100.00,yes
I love that this happened again!,Sarcastic,91.38,yes
oh great it's monday again,This sentence is sarcastic.,92.06,yes
