text,label
I'm so excited to do this for the 100th time.,1
I love getting stuck in traffic every day.,1
"Fantastic, my phone died again just when I needed it.",1
"Oh great, more rain on my only day off.",1
Of course I love when the internet stops working during a deadline.,1
"Yay, another email from my boss on a Sunday night!",1
"Awesome, my alarm didn't go off again!",1
"How wonderful, I get to pay more taxes this year.",1
Nothing makes me happier than cleaning up someone else’s mess.,1
"Cool, the elevator is broken and I’m on the 10th floor.",1
"Sure, I just love waiting for hours at the doctor’s office.",1
I live for awkward small talk with strangers.,1
"Excellent, spilled coffee on my only white shirt.",1
I absolutely adore being micromanaged.,1
"Yes, please interrupt me one more time.",1
Because who doesn't enjoy Monday mornings?,1
"Perfect, now the printer ran out of ink again.",1
I'm thrilled to redo this for the fifth time.,1
I can't wait to go back to work after the weekend.,1
I just love when people chew loudly next to me.,1
I love being ignored in meetings.,1
I enjoy being blamed for things I didn't do.,1
Of course I meant to send that embarrassing email to everyone.,1
"Oh joy, another parking ticket!",1
I’m absolutely delighted to clean up after everyone.,1
"Great, now my coffee is cold.",1
Who needs a vacation anyway?,1
"Oh no, another meeting that could have been an email.",1
I just love losing Wi-Fi in the middle of a Zoom call.,1
"Lovely, I spilled water on my laptop again.",1
This is exactly how I wanted to spend my weekend.,1
"Awesome, someone took my lunch from the fridge again.",1
"Cool, the project deadline was moved up... again.",1
Nothing like waking up before my alarm.,1
"Perfect timing, another flat tire.",1
"Nice, the only day I dress up and no one sees me.",1
Thrilled to be on hold with customer service for an hour.,1
I live for last-minute requests on Friday night.,1
My favorite hobby? Waiting in long lines.,1
"How exciting, another delayed flight!",1
"Just what I needed, another software update.",1
So happy I dropped my phone face down... again.,1
"Of course, I love surprises—especially bad ones.",1
Isn’t it fun when technology fails during a presentation?,1
"Yay, someone sent me a calendar invite at 2 AM.",1
Gotta love when people don’t use headphones in public.,1
"Fantastic, another reminder of my expired license.",1
"Great, spilled ketchup on my pants right before the meeting.",1
Love when Netflix buffers in the middle of a scene.,1
"Oh joy, my neighbor is mowing the lawn at 7 AM.",1
Just what I hoped for—an unexpected audit!,1
"Delightful, the printer jammed again.",1
My favorite—when autocorrect changes everything.,1
Blessed to step in gum before the job interview.,1
"Hooray, another 12-hour workday!",1
"Splendid, I double-booked myself again.",1
"Ideal, the AC broke during a heatwave.",1
Happy to clean the kitchen for the third time today.,1
Can’t wait to repeat myself for the fifth time.,1
Joyous! They raised the rent again.,1
What a treat—forgot my umbrella during a storm.,1
Nothing screams fun like assembling furniture alone.,1
"So lucky, I ran into my ex on a bad hair day.",1
"Marvelous, forgot my wallet at checkout.",1
"Brilliant, the remote control batteries died mid-movie.",1
Such bliss—my favorite shirt shrank in the wash.,1
Amazing! My cat threw up on my bed again.,1
"Yay, I love surprise bills in the mail.",1
"What a thrill, missed the bus by 5 seconds.",1
"How charming, spam calls at midnight.",1
Nice! My favorite show got canceled.,1
I love explaining things ten times in a row.,1
So proud the app crashed during my demo.,1
Perfect! I dropped my keys in a sewer.,1
"Incredible, they forgot my order again.",1
Love it when my socks get soaked in the rain.,1
"Oh cool, I left my lunch at home again.",1
What fun! Dentist appointment on my birthday.,1
"Excellent, forgot my password again.",1
"Hooray, another credit card declined moment.",1
Thrilled about cleaning glitter off everything.,1
"Ideal timing, the power went out mid-cooking.",1
Isn’t it great when your GPS goes crazy?,1
Love waking up 5 minutes before the alarm.,1
Best part of my day? Being stuck in an elevator.,1
So thoughtful! They copied the whole company.,1
I enjoy being locked out of my house.,1
Bless this beautiful Monday traffic.,1
So nice! My package was delivered to the wrong house.,1
My laptop just restarted during the exam—amazing!,1
Love when the train stops between stations.,1
Wow! I got splashed by a car puddle—how refreshing!,1
"Genius move, stepped in dog poop right before work.",1
So peaceful—fire alarm test at 6 AM.,1
"So efficient, I deleted the report I needed.",1
Inspiring! I got assigned 3 extra tasks right now.,1
Nothing like a printer jam during the deadline hour.,1
